"CUISINECODE","mean","stderr","N","CODEDESC"
"42",14.5192307692308,0.964001483267743,168,"Hotdogs/Pretzels"
"75",14.9611992945326,0.399994446727699,594,"Soups & Sandwiches"
"33",15.3461538461538,0.415161925279197,300,"Ethiopian"
"29",15.5363367313384,0.139383889832612,6449,"Donuts"
"41",15.5413870246085,0.427592222102535,472,"Hotdogs"
"43",15.9433800400343,0.187646378418341,3785,"Ice Cream, Gelato, Yogurt, Ices"
"69",16.4384422110553,0.142231781004022,6662,"Sandwiches"
"51",16.8989898989899,0.231927945115695,2718,"Juice, Smoothies, Fruit Salads"
"14",17.1255183076815,0.0999822838381924,15235,"Caf/Coffee/Tea"
"70",17.1911962365591,0.215191421074169,3131,"Sandwiches/Salads/Mixed Buffet"
"15",17.2142857142857,0.559403021270196,186,"Cajun"
"04",17.2334494773519,0.382263289970446,656,"Armenian"
"99",17.3927560837578,0.29096158529184,2781,"Other"
"39",17.5123523093448,0.128822118271245,7868,"Hamburgers"
"12",17.8512145748988,0.391600251451115,1053,"Bottled beverages, including water, sodas, juices, etc."
"31",18.541935483871,0.572595588175256,367,"Egyptian"
"32",18.6446540880503,0.561909185622047,342,"English"
"76",19.2113402061856,0.667048307289566,207,"Southwestern"
"18",19.3176002274666,0.147413757225354,7618,"Chicken"
"71",20.0833333333333,0.808302763852348,149,"Scandinavian"
"68",20.1602209944751,0.587512107940604,559,"Salads"
"56",20.2653538050734,0.255736050723546,3429,"Middle Eastern"
"37",20.570351758794,0.356392327585859,879,"German"
"38",20.7136997538966,0.265642143206284,2617,"Greek"
"26",20.7394957983193,1.09252758920331,131,"Czech"
"47",20.8301395788976,0.196515794998739,4519,"Irish"
"10",20.8593548387097,0.442914108610221,816,"Barbecue"
"84",20.8716465018411,0.3365250550167,1983,"Vegetarian"
"81",20.9158050221566,0.280221859753065,2878,"Tex-Mex"
"60",21.0050505050505,0.66731174834246,421,"Pancakes/Waffles"
"57",21.041825095057,0.843690094824651,292,"Moroccan"
"07",21.0696292103029,0.227308636232962,3726,"Bagels/Pretzels"
"64",21.2521865889213,0.43645588690632,732,"Polish"
"03",21.3544906964648,0.0401957098684466,128372,"American "
"62",21.3703342278605,0.0889278482067162,26189,"Pizza"
"54",21.5864968152866,0.238198013807034,4249,"Mediterranean"
"78",21.6960841613092,0.375367868970176,1841,"Steak"
"34",21.809963099631,0.523643128027147,575,"Filipino"
"23",21.9086078639745,0.43839026859949,1005,"Continental"
"45",21.9666666666667,0.804415967503229,215,"Indonesian"
"35",21.9982881597718,0.170355816817158,7576,"French"
"01",22.0797101449275,0.789929556664949,307,"Afghan"
"80",22.09375,0.615393802413636,637,"Tapas"
"48",22.1795240639513,0.0898583776379029,26152,"Italian"
"63",22.1929531848071,0.135495785780521,10839,"Pizza/Italian"
"06",22.2575107296137,1.07709653042692,254,"Australian"
"00",22.2627118644068,1.67310793545932,139,"Not Listed/Not Applicable"
"83",22.6700749829584,0.388721017855521,1557,"Turkish"
"50",22.6756348661633,0.169525885222653,7624,"Jewish/Kosher"
"13",22.8225039619651,0.492216231898136,678,"Brazilian"
"72",22.8871544715447,0.28654779572969,3308,"Seafood"
"30",23.0645161290323,0.379079197062869,1548,"Eastern European"
"08",23.0654289950364,0.126285287551475,16395,"Bakery"
"17",23.0925961849337,0.122805995893612,16408,"Caribbean"
"55",23.2664262820513,0.108612941838172,18787,"Mexican"
"77",23.448595887671,0.134902802087332,13349,"Spanish"
"73",23.4873096446701,0.443492917825789,1041,"Soul Food"
"67",23.5254777070064,0.37225144765462,2087,"Russian"
"82",23.5575301204819,0.173003047611025,6947,"Thai"
"49",23.8085913181278,0.111434746089697,18647,"Japanese"
"28",24.45,0.364547934729457,1856,"Vietnamese/Cambodian/Malaysia"
"53",24.4995562726906,0.0994267867702139,26489,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"27",24.5195100802081,0.158086019951932,9731,"Delicatessen"
"52",24.5334536159976,0.189453544676336,7068,"Korean"
"61",24.8654906284454,0.386426305477179,1917,"Peruvian"
"20",24.9176143074068,0.0668186055486795,61684,"Chinese"
"44",25.0934887256144,0.197391049973205,8300,"Indian"
"59",25.5921219822109,0.624676342397641,830,"Pakistani"
"22",26.0322327044025,0.44954711993193,1321,"Chinese/Japanese"
"05",26.0572285052459,0.209403949073284,7778,"Asian"
"09",26.586649550706,0.639971006442039,814,"Bangladeshi"
"02",26.658836689038,0.443950481622748,1877,"African"
"66",26.6857142857143,1.02721662787126,285,"Portuguese"
"21",27.4245283018868,0.804001118676936,443,"Chinese/Cuban"
"24",30.1454545454545,0.811604452616857,687,"Creole"
